Date,Weekday,Time,shoppingSunday,toHoliday,fromHoliday,schoolHolidays,Christmas
2018-01-01 00:02:51,1,1.0,1,1,1,1,0
2018-01-01 00:09:00,1,1.0,1,1,1,1,0
2018-01-01 00:15:03,1,1.0,1,1,1,1,0
2018-01-01 00:21:03,1,1.0,1,1,1,1,0
2018-01-01 00:26:48,1,1.0,1,1,1,1,0
2018-01-01 00:32:48,1,1.0,1,1,1,1,0
2018-01-01 00:38:48,1,1.0,1,1,1,1,0
2018-01-01 00:44:48,1,1.0,1,1,1,1,0
2018-01-01 00:50:55,1,1.0,1,1,1,1,0
2018-01-01 00:56:52,1,1.0,1,1,1,1,0
2018-01-01 01:03:03,1,1.0,1,1,1,1,0
2018-01-01 01:09:04,1,1.0,1,1,1,1,0
2018-01-01 01:15:02,1,1.0,1,1,1,1,0
2018-01-01 01:20:48,1,1.0,1,1,1,1,0
2018-01-01 01:26:50,1,1.0,1,1,1,1,0
2018-01-01 01:33:03,1,1.0,1,1,1,1,0
2018-01-01 01:38:49,1,1.0,1,1,1,1,0
2018-01-01 01:44:52,1,1.0,1,1,1,1,0
2018-01-01 01:51:00,1,1.0,1,1,1,1,0
2018-01-01 01:56:51,1,1.0,1,1,1,1,0
2018-01-01 02:03:03,1,1.0,1,1,1,1,0
2018-01-01 02:08:59,1,1.0,1,1,1,1,0
2018-01-01 02:14:58,1,1.0,1,1,1,1,0
2018-01-01 02:20:48,1,1.0,1,1,1,1,0
2018-01-01 02:26:50,1,1.0,1,1,1,1,0
2018-01-01 02:32:56,1,1.0,1,1,1,1,0
2018-01-01 02:38:03,1,1.0,1,1,1,1,0
2018-01-01 02:43:58,1,1.0,1,1,1,1,0
2018-01-01 02:49:52,1,1.0,1,1,1,1,0
2018-01-01 02:56:02,1,1.0,1,1,1,1,0
2018-01-01 03:01:49,1,1.0,1,1,1,1,0
2018-01-01 03:08:02,1,1.0,1,1,1,1,0
2018-01-01 03:13:48,1,1.0,1,1,1,1,0
2018-01-01 03:19:40,1,1.0,1,1,1,1,0
2018-01-01 03:24:57,1,1.0,1,1,1,1,0
2018-01-01 03:30:46,1,1.0,1,1,1,1,0
2018-01-01 03:36:04,1,1.0,1,1,1,1,0
2018-01-01 03:41:57,1,1.0,1,1,1,1,0
2018-01-01 03:47:50,1,1.0,1,1,1,1,0
2018-01-01 03:54:02,1,1.0,1,1,1,1,0
2018-01-01 04:00:04,1,1.0,1,1,1,1,0
2018-01-01 04:05:49,1,1.0,1,1,1,1,0
2018-01-01 04:11:55,1,1.0,1,1,1,1,0
2018-01-01 04:17:51,1,1.0,1,1,1,1,0
2018-01-01 04:23:50,1,1.0,1,1,1,1,0
2018-01-01 04:30:04,1,1.0,1,1,1,1,0
2018-01-01 04:36:12,1,1.0,1,1,1,1,0
2018-01-01 04:41:59,1,1.0,1,1,1,1,0
2018-01-01 04:47:52,1,1.0,1,1,1,1,0
2018-01-01 04:54:03,1,1.0,1,1,1,1,0
2018-01-01 04:59:56,1,1.0,1,1,1,1,0
2018-01-01 05:05:52,1,1.0,1,1,1,1,0
2018-01-01 05:11:49,1,1.0,1,1,1,1,0
2018-01-01 05:17:51,1,1.0,1,1,1,1,0
2018-01-01 05:23:48,1,1.0,1,1,1,1,0
2018-01-01 05:29:58,1,1.0,1,1,1,1,0
2018-01-01 05:35:52,1,1.0,1,1,1,1,0
2018-01-01 05:41:48,1,1.0,1,1,1,1,0
2018-01-01 05:47:55,1,1.0,1,1,1,1,0
2018-01-01 05:53:48,1,1.0,1,1,1,1,0
2018-01-01 05:59:50,1,1.0,1,1,1,1,0
2018-01-01 06:06:01,1,1.0,1,1,1,1,0
2018-01-01 06:11:53,1,1.0,1,1,1,1,0
2018-01-01 06:18:00,1,1.0,1,1,1,1,0
2018-01-01 06:23:51,1,1.0,1,1,1,1,0
2018-01-01 06:29:50,1,1.0,1,1,1,1,0
2018-01-01 06:36:02,1,1.0,1,1,1,1,0
2018-01-01 06:41:51,1,1.0,1,1,1,1,0
2018-01-01 06:48:00,1,1.0,1,1,1,1,0
2018-01-01 06:53:49,1,1.0,1,1,1,1,0
2018-01-01 06:59:58,1,1.0,1,1,1,1,0
2018-01-01 07:05:52,1,1.0,1,1,1,1,0
2018-01-01 07:10:49,1,1.0,1,1,1,1,0
2018-01-01 07:16:54,1,1.0,1,1,1,1,0
2018-01-01 07:22:50,1,1.0,1,1,1,1,0
2018-01-01 07:29:03,1,1.0,1,1,1,1,0
2018-01-01 07:35:00,1,1.0,1,1,1,1,0
2018-01-01 07:40:50,1,1.0,1,1,1,1,0
2018-01-01 07:47:00,1,1.0,1,1,1,1,0
2018-01-01 07:52:50,1,1.0,1,1,1,1,0
2018-01-01 07:57:48,1,1.0,1,1,1,1,0
2018-01-01 08:03:31,1,1.0,1,1,1,1,0
2018-01-01 08:08:51,1,1.0,1,1,1,1,0
2018-01-01 08:14:48,1,1.0,1,1,1,1,0
2018-01-01 08:20:59,1,1.0,1,1,1,1,0
2018-01-01 08:26:53,1,1.0,1,1,1,1,0
2018-01-01 08:33:01,1,1.0,1,1,1,1,0
2018-01-01 08:38:50,1,1.0,1,1,1,1,0
2018-01-01 08:44:53,1,1.0,1,1,1,1,0
2018-01-01 08:51:02,1,1.0,1,1,1,1,0
2018-01-01 08:56:48,1,1.0,1,1,1,1,0
2018-01-01 09:02:51,1,1.0,1,1,1,1,0
2018-01-01 09:09:29,1,1.0,1,1,1,1,0
2018-01-01 09:14:58,1,1.0,1,1,1,1,0
2018-01-01 09:20:48,1,1.0,1,1,1,1,0
2018-01-01 09:26:48,1,1.0,1,1,1,1,0
2018-01-01 09:33:00,1,1.0,1,1,1,1,0
2018-01-01 09:38:48,1,1.0,1,1,1,1,0
2018-01-01 09:44:50,1,1.0,1,1,1,1,0
2018-01-01 09:50:48,1,1.0,1,1,1,1,0
2018-01-01 09:56:28,1,1.0,1,1,1,1,0
2018-01-01 10:01:54,1,1.0,1,1,1,1,0
2018-01-01 10:07:54,1,1.0,1,1,1,1,0
2018-01-01 10:13:48,1,1.0,1,1,1,1,0
2018-01-01 10:19:57,1,1.0,1,1,1,1,0
